,date_day,season,year,month,day,workingday,weather,temp,atemp,hum,casual_user,registered_user,total_user,season_label,year_label,month_label,day_label,weather_label,workingday_label
0,2011-01-01,1,0,1,6,0,2,0.344167,0.363625,0.805833,331,654,985,spring,2011,January,Saturday,Mist/Cloudy,Weekend
1,2011-01-02,1,0,1,0,0,2,0.363478,0.353739,0.696087,131,670,801,spring,2011,January,Sunday,Mist/Cloudy,Weekend
2,2011-01-03,1,0,1,1,1,1,0.196364,0.189405,0.437273,120,1229,1349,spring,2011,January,Monday,Clear/Partly cloudy,Weekday
3,2011-01-04,1,0,1,2,1,1,0.2,0.212122,0.590435,108,1454,1562,spring,2011,January,Tuesday,Clear/Partly cloudy,Weekday
4,2011-01-05,1,0,1,3,1,1,0.226957,0.22927,0.436957,82,1518,1600,spring,2011,January,Wednesday,Clear/Partly cloudy,Weekday
5,2011-01-06,1,0,1,4,1,1,0.204348,0.233209,0.518261,88,1518,1606,spring,2011,January,Thursday,Clear/Partly cloudy,Weekday
6,2011-01-07,1,0,1,5,1,2,0.196522,0.208839,0.498696,148,1362,1510,spring,2011,January,Friday,Mist/Cloudy,Weekday
7,2011-01-08,1,0,1,6,0,2,0.165,0.162254,0.535833,68,891,959,spring,2011,January,Saturday,Mist/Cloudy,Weekend
8,2011-01-09,1,0,1,0,0,1,0.138333,0.116175,0.434167,54,768,822,spring,2011,January,Sunday,Clear/Partly cloudy,Weekend
9,2011-01-10,1,0,1,1,1,1,0.150833,0.150888,0.482917,41,1280,1321,spring,2011,January,Monday,Clear/Partly cloudy,Weekday
10,2011-01-11,1,0,1,2,1,2,0.169091,0.191464,0.686364,43,1220,1263,spring,2011,January,Tuesday,Mist/Cloudy,Weekday
11,2011-01-12,1,0,1,3,1,1,0.172727,0.160473,0.599545,25,1137,1162,spring,2011,January,Wednesday,Clear/Partly cloudy,Weekday
12,2011-01-13,1,0,1,4,1,1,0.165,0.150883,0.470417,38,1368,1406,spring,2011,January,Thursday,Clear/Partly cloudy,Weekday
13,2011-01-14,1,0,1,5,1,1,0.16087,0.188413,0.537826,54,1367,1421,spring,2011,January,Friday,Clear/Partly cloudy,Weekday
14,2011-01-15,1,0,1,6,0,2,0.233333,0.248112,0.49875,222,1026,1248,spring,2011,January,Saturday,Mist/Cloudy,Weekend
15,2011-01-16,1,0,1,0,0,1,0.231667,0.234217,0.48375,251,953,1204,spring,2011,January,Sunday,Clear/Partly cloudy,Weekend
