,date_day,season,year,month,hour,day,workingday,weather,temp,atemp,hum,casual_user,registered_user,total_user,season_label,year_label,month_label,day_label,weather_label,workingday_label
0,2011-01-01,1,0,1,0,6,0,1,0.24,0.2879,0.81,3,13,16,spring,2011,January,Saturday,Clear/Partly cloudy,Weekend
1,2011-01-01,1,0,1,1,6,0,1,0.22,0.2727,0.8,8,32,40,spring,2011,January,Saturday,Clear/Partly cloudy,Weekend
2,2011-01-01,1,0,1,2,6,0,1,0.22,0.2727,0.8,5,27,32,spring,2011,January,Saturday,Clear/Partly cloudy,Weekend
3,2011-01-01,1,0,1,3,6,0,1,0.24,0.2879,0.75,3,10,13,spring,2011,January,Saturday,Clear/Partly cloudy,Weekend
4,2011-01-01,1,0,1,4,6,0,1,0.24,0.2879,0.75,0,1,1,spring,2011,January,Saturday,Clear/Partly cloudy,Weekend
5,2011-01-01,1,0,1,5,6,0,2,0.24,0.2576,0.75,0,1,1,spring,2011,January,Saturday,Mist/Cloudy,Weekend
6,2011-01-01,1,0,1,6,6,0,1,0.22,0.2727,0.8,2,0,2,spring,2011,January,Saturday,Clear/Partly cloudy,Weekend
7,2011-01-01,1,0,1,7,6,0,1,0.2,0.2576,0.86,1,2,3,spring,2011,January,Saturday,Clear/Partly cloudy,Weekend
8,2011-01-01,1,0,1,8,6,0,1,0.24,0.2879,0.75,1,7,8,spring,2011,January,Saturday,Clear/Partly cloudy,Weekend
9,2011-01-01,1,0,1,9,6,0,1,0.32,0.3485,0.76,8,6,14,spring,2011,January,Saturday,Clear/Partly cloudy,Weekend
10,2011-01-01,1,0,1,10,6,0,1,0.38,0.3939,0.76,12,24,36,spring,2011,January,Saturday,Clear/Partly cloudy,Weekend
11,2011-01-01,1,0,1,11,6,0,1,0.36,0.3333,0.81,26,30,56,spring,2011,January,Saturday,Clear/Partly cloudy,Weekend
12,2011-01-01,1,0,1,12,6,0,1,0.42,0.4242,0.77,29,55,84,spring,2011,January,Saturday,Clear/Partly cloudy,Weekend
13,2011-01-01,1,0,1,13,6,0,2,0.46,0.4545,0.72,47,47,94,spring,2011,January,Saturday,Mist/Cloudy,Weekend
14,2011-01-01,1,0,1,14,6,0,2,0.46,0.4545,0.72,35,71,106,spring,2011,January,Saturday,Mist/Cloudy,Weekend
15,2011-01-01,1,0,1,15,6,0,2,0.44,0.4394,0.77,40,70,110,spring,2011,January,Saturday,Mist/Cloudy,Weekend
16,2011-01-01,1,0,1,16,6,0,2,0.42,0.4242,0.82,41,52,93,spring,2011,January,Saturday,Mist/Cloudy,Weekend
17,2011-01-01,1,0,1,17,6,0,2,0.44,0.4394,0.82,15,52,67,spring,2011,January,Saturday,Mist/Cloudy,Weekend
18,2011-01-01,1,0,1,18,6,0,3,0.42,0.4242,0.88,9,26,35,spring,2011,January,Saturday,Light Snow/Rain,Weekend
19,2011-01-01,1,0,1,19,6,0,3,0.42,0.4242,0.88,6,31,37,spring,2011,January,Saturday,Light Snow/Rain,Weekend
20,2011-01-01,1,0,1,20,6,0,2,0.4,0.4091,0.87,11,25,36,spring,2011,January,Saturday,Mist/Cloudy,Weekend
21,2011-01-01,1,0,1,21,6,0,2,0.4,0.4091,0.87,3,31,34,spring,2011,January,Saturday,Mist/Cloudy,Weekend
22,2011-01-01,1,0,1,22,6,0,2,0.4,0.4091,0.94,11,17,28,spring,2011,January,Saturday,Mist/Cloudy,Weekend
23,2011-01-01,1,0,1,23,6,0,2,0.46,0.4545,0.88,15,24,39,spring,2011,January,Saturday,Mist/Cloudy,Weekend
24,2011-01-02,1,0,1,0,0,0,2,0.46,0.4545,0.88,4,13,17,spring,2011,January,Sunday,Mist/Cloudy,Weekend
25,2011-01-02,1,0,1,1,0,0,2,0.44,0.4394,0.94,1,16,17,spring,2011,January,Sunday,Mist/Cloudy,Weekend
26,2011-01-02,1,0,1,2,0,0,2,0.42,0.4242,1.0,1,8,9,spring,2011,January,Sunday,Mist/Cloudy,Weekend
27,2011-01-02,1,0,1,3,0,0,2,0.46,0.4545,0.94,2,4,6,spring,2011,January,Sunday,Mist/Cloudy,Weekend
28,2011-01-02,1,0,1,4,0,0,2,0.46,0.4545,0.94,2,1,3,spring,2011,January,Sunday,Mist/Cloudy,Weekend
29,2011-01-02,1,0,1,6,0,0,3,0.42,0.4242,0.77,0,2,2,spring,2011,January,Sunday,Light Snow/Rain,Weekend
30,2011-01-02,1,0,1,7,0,0,2,0.4,0.4091,0.76,0,1,1,spring,2011,January,Sunday,Mist/Cloudy,Weekend
31,2011-01-02,1,0,1,8,0,0,3,0.4,0.4091,0.71,0,8,8,spring,2011,January,Sunday,Light Snow/Rain,Weekend
